0,1,2,3,4
0.0,19.98,0.0,0,0.05859375
0.5,19.98,0.0,0,1.2998047
0.5,19.98,0.0,0,14.722656
0.0,19.98,0.0,0,15.482422
0.5,19.98,0.0,0,14.792969
0.0,19.98,0.0,0,15.134766
0.0,19.98,0.0,0,14.791016
0.0,19.98,0.0,0,14.736328
0.0,19.98,0.0,0,14.96875
0.5,19.98,0.0,0,14.736328
0.0,20.01,0.0,0,14.794922
0.0,20.01,0.0,0,14.794922
0.0,20.01,0.0,0,14.912109
0.5,20.01,0.0,0,14.9140625
2.0,19.98,0.0,0,0.064453125
2.5,19.98,0.0,0,0.234375
2.5,19.98,0.0,0,0.1171875
1.5,19.98,0.0,0,0.8691406
5.4,19.98,0.0,0,0.17578125
2.5,20.01,0.0,0,0.234375
1.5,20.01,0.0,0,0.17578125
2.0,19.98,0.0,0,0.17578125
3.5,19.98,0.0,0,0.17578125
1.5,20.01,0.0,0,0.1171875
1.5,19.98,0.0,0,0.29296875
3.0,19.98,0.0,0,0.05859375
1.5,19.98,0.0,0,0.29296875
2.5,20.01,0.0,0,0.17578125
3.0,20.01,0.0,0,0.39257812
1.0,20.01,0.0,0,0.5097656
0.0,20.01,0.0,0,0.0
0.5,20.01,0.0,0,0.1171875
0.0,20.01,0.0,0,0.05859375
0.0,20.01,0.0,0,0.05859375
0.5,20.01,0.0,0,0.17578125
0.0,20.01,0.0,0,0.46875
0.0,20.01,0.0,0,0.29296875
0.5,20.01,0.0,0,0.05859375
0.0,20.01,0.0,0,0.05859375
0.5,20.01,0.0,0,0.05859375
0.0,20.01,0.0,0,0.0
0.0,20.01,0.0,0,0.05859375
0.0,20.01,0.0,0,0.37597656
0.0,20.01,0.0,0,0.17578125
0.5,20.03,0.0,0,0.1171875
0.0,20.03,0.0,0,3.2861328
0.0,20.03,0.0,0,0.8388672
0.0,20.03,0.0,0,0.96191406
0.5,20.03,0.0,0,0.1171875
0.0,20.03,0.0,0,0.1171875
0.0,20.03,0.0,0,0.17578125
0.0,20.03,0.0,0,0.05859375
0.0,20.03,0.0,0,0.17578125
0.0,20.03,0.0,0,0.45117188
0.0,20.03,0.0,0,0.4345703
0.0,20.03,0.0,0,0.17578125
0.0,20.03,0.0,0,0.29101562
0.5,20.03,0.0,0,0.1171875
1.0,20.03,0.0,0,0.28515625
0.0,20.03,0.0,0,0.234375
0.0,20.03,0.0,0,0.17578125
0.0,20.03,0.0,0,0.05859375
0.0,20.03,0.0,0,0.1171875
0.0,20.03,0.0,0,0.1171875
0.0,20.03,0.0,0,0.29296875
5.0,20.03,0.0,0,0.1171875
0.5,20.03,0.0,0,0.41015625
0.5,20.06,0.0,0,0.234375
0.0,20.06,0.0,0,13.020508
1.0,20.06,0.0,0,14.974609
0.5,20.06,0.0,0,14.796875
0.0,20.06,0.0,0,15.490234
0.0,20.06,0.0,0,14.796875
0.5,20.06,0.0,0,14.9140625
0.0,20.06,0.0,0,15.310547
1.0,20.06,0.0,0,15.373047
0.0,20.06,0.0,0,14.734375
0.0,20.06,0.0,0,14.796875
0.5,20.06,0.0,0,14.796875
0.0,20.06,0.0,0,15.029297
0.0,20.06,0.0,0,14.791016
0.5,20.06,0.0,0,9.4921875
2.0,20.06,0.0,0,0.17578125
